shift_x,shift_y
147.048,196.228
198.397,195.536
212.553,202.645
243.791,190.402
279.318,187.868
218.953,252.961
216.767,270.932
211.865,292.475
217.056,319.392
167.674,384.061
269.152,395.915
215.876,380.011
217.689,419.141
156.282,261.488
139.055,262.151
98.4883,238.068
140.375,214.623
191.566,224.571
277.276,265.657
294.762,265.57
335.361,227.509
288.643,208.656
246.455,222.856
