shift_x,shift_y
158.97,190.458
187.592,182.766
205.67,191.788
242.257,200.627
266.882,198.726
214.817,252.08
221.241,271.163
213.577,292.268
204.818,317.63
161.736,390.856
276.226,387.626
212.239,389.197
221.537,424.832
166.87,260.74
149.643,261.403
96.6189,234.172
138.349,201.998
189.793,232.019
278.815,261.346
296.302,261.259
342.62,220.175
299.24,214.109
244.751,237.875
