shift_x,shift_y
152.696,192.854
188.349,196.699
221.64,194.946
244.057,192.249
270.917,183.347
214.784,252.058
218.924,271.182
209.996,297.75
212.262,314.735
161.36,391.734
274.224,388.948
213.43,387.56
216.41,411.644
163.796,261.954
146.569,262.617
87.2524,234.675
132.132,209.333
181.229,227.312
268.84,261.025
286.327,260.938
333.519,224.175
285.562,206.625
233.742,228.894
