subj,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt
101,0,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0462.eq.wav,1,16,5796.85824570,3.82388540,0,1238
101,0,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0462.eq.wav,1,17,6767.56008152,-0.74262364,0,1238
101,0,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0462.eq.wav,1,18,7883.29541175,4.40297935,0,1238
101,0,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0462.eq.wav,1,19,9165.73383021,-3.01717265,0,1238
101,0,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0462.eq.wav,1,20,10639.78260555,1.68610874,0,1238
101,0,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0462.eq.wav,1,21,12334.07042541,-1.78760342,0,1238
101,0,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0462.eq.wav,1,22,14281.50341712,-0.57349725,0,1238
101,0,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0462.eq.wav,1,23,16519.90424416,-2.45675626,0,1238
101,0,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0462.eq.wav,1,24,19092.74669051,2.95060735,0,1238
101,0,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0462.eq.wav,1,25,22050.00000000,-1.08765333,0,1238
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,0,0.00000000,-1.57463678,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,1,104.58767290,0.35415503,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,2,224.80189054,-4.87774726,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,3,362.97743001,1.16658728,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,4,521.79790965,1.86330852,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,5,704.34790983,3.89530619,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,6,914.17288101,-4.58596069,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,7,1155.34800284,-1.30019220,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,8,1432.55733147,4.19563655,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,9,1751.18477235,-1.58310070,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,10,2117.41864548,-4.86618553,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,11,2538.37187364,-0.30063484,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,12,3022.22012828,0.45428118,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,13,3578.36061576,-0.25281106,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,14,4217.59458808,2.88931580,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,15,4952.33712269,-3.80315762,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,16,5796.85824570,3.97665789,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,17,6767.56008152,4.81232803,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,18,7883.29541175,-2.38673057,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,19,9165.73383021,2.09366960,0,1611
101,1,0,x,99,2021-11-23T14:48:56.590Z,gomot_a.0083.eq.wav,0,20,10639.78260555,4.05530591,0,1611
