subj,trial,block,sex,age,date,stim,stim_order,param_index,filter_freq,filter_gain,response,rt
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,0,0.00000000,3.00630203,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,1,104.58767290,3.08888470,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,2,224.80189054,-4.83334342,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,3,362.97743001,-3.92120562,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,4,521.79790965,-1.91522753,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,5,704.34790983,-3.10239705,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,6,914.17288101,-4.13571253,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,7,1155.34800284,-4.61315651,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,8,1432.55733147,0.03743672,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,9,1751.18477235,2.44695048,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,10,2117.41864548,-0.25489232,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,11,2538.37187364,4.96739309,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,12,3022.22012828,0.24244218,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,13,3578.36061576,-1.17605160,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,14,4217.59458808,-0.13578702,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,15,4952.33712269,1.08374590,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,16,5796.85824570,-4.58738907,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,17,6767.56008152,-3.67852556,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,18,7883.29541175,-4.57005697,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,19,9165.73383021,-1.27709748,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,20,10639.78260555,-0.16878431,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,21,12334.07042541,0.91517687,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,22,14281.50341712,-2.92717973,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,23,16519.90424416,2.14014224,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,24,19092.74669051,3.91407748,True,1248
102,0,0,lkj,12,2021-11-29T14:08:55.133Z,gomot_a.0028.eq.wav,0,25,22050.00000000,-2.95445368,True,1248
