subj,trial,block,sex,age,date,stim,stim_order,param_index,filter_freq,filter_gain,response,rt
100,0,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0088.eq.wav,1,16,5796.85824570,3.38447767,False,222
100,0,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0088.eq.wav,1,17,6767.56008152,-3.06832935,False,222
100,0,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0088.eq.wav,1,18,7883.29541175,0.24444990,False,222
100,0,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0088.eq.wav,1,19,9165.73383021,3.04294705,False,222
100,0,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0088.eq.wav,1,20,10639.78260555,2.01572600,False,222
100,0,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0088.eq.wav,1,21,12334.07042541,4.20272467,False,222
100,0,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0088.eq.wav,1,22,14281.50341712,3.39628771,False,222
100,0,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0088.eq.wav,1,23,16519.90424416,-4.66197091,False,222
100,0,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0088.eq.wav,1,24,19092.74669051,2.87433700,False,222
100,0,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0088.eq.wav,1,25,22050.00000000,-2.91159141,False,222
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,0,0.00000000,4.76484818,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,1,104.58767290,-3.64123341,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,2,224.80189054,-3.29929552,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,3,362.97743001,-1.35130748,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,4,521.79790965,-0.42802776,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,5,704.34790983,0.48684698,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,6,914.17288101,3.42049675,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,7,1155.34800284,-3.92619999,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,8,1432.55733147,-1.48386306,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,9,1751.18477235,1.59071940,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,10,2117.41864548,4.80709452,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,11,2538.37187364,-2.95180845,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,12,3022.22012828,3.03655648,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,13,3578.36061576,0.19126030,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,14,4217.59458808,2.80282884,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,15,4952.33712269,-4.33460234,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,16,5796.85824570,-2.93737939,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,17,6767.56008152,2.70699874,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,18,7883.29541175,0.89940852,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,19,9165.73383021,-3.24959485,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,20,10639.78260555,2.96451669,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,21,12334.07042541,0.36373860,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,22,14281.50341712,0.41700347,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,23,16519.90424416,0.00523963,False,242
100,1,0,coucou,11,2021-11-29T14:04:23.250Z,gomot_a.0010.eq.wav,0,24,19092.74669051,-2.29535379,False,242
